time,open,high,low,close
1707458400,4.915,5.02,4.91,4.93
1707717600,4.9825,5.1575,4.9675,4.99
1707804000,5.005,5.235,4.9725,5.04
1707890400,5.0625,5.125,4.9925,5.02
1707976800,5.05,5.52,5.045,5.52
1708063200,5.6125,5.84,5.525,5.555
1708322400,5.605,5.6525,5.3725,5.3925
1708408800,5.4375,5.45,5.315,5.315
1708495200,5.3375,5.3375,5.1325,5.1675
1708581600,5.1975,5.2825,5.16,5.1675
1708668000,5.1875,5.2075,5.0075,5.01
1708927200,5.025,5.0725,4.9525,4.97
1709013600,4.975,5.1725,4.82,4.9975
1709100000,5,5.14,4.9025,4.9075
1709186400,4.9275,5.0225,4.8575,4.945
1709272800,4.9625,5.015,4.85,4.85
1709532000,4.87,4.8825,4.645,4.6525
1709618400,4.655,4.9,4.65,4.7525
1709704800,4.73,4.9225,4.6525,4.665
1709791200,4.69,4.82,4.69,4.8075
1709877600,4.8275,5.265,4.7275,5.0975
1710136800,5.1875,5.295,4.9625,5.0275
1710223200,5.04,5.1425,4.855,4.8875
1710309600,4.89,4.8975,4.7775,4.825
1710396000,4.8375,4.91,4.7725,4.79
1710482400,4.8025,4.8725,4.7225,4.74
1710741600,4.7575,4.84,4.6975,4.7175
1710828000,4.7275,4.7975,4.705,4.7675
1710914400,4.7725,4.9575,4.77,4.84
1711000800,4.8775,5.0875,4.8725,4.975
1711087200,4.995,5.215,4.9475,5.1175
1711346400,5.1325,5.255,4.9925,5.0225
1711432800,5.025,5.0325,4.775,4.7875
1711519200,4.7975,4.955,4.725,4.8875
1711605600,5.375,5.375,5.3075,5.375
1711692000,5.59,5.695,5.25,5.3475
1711951200,5.3375,5.3375,5.0625,5.0625
1712037600,5.0675,5.1125,4.8125,4.8125
1712124000,4.81,4.9125,4.7975,4.805
1712210400,4.825,4.905,4.725,4.725
1712296800,4.765,5.015,4.755,4.9575
1712556000,4.975,5.135,4.94,5.0475
1712642400,5.0525,5.235,5.0525,5.175
1713160800,5.145,5.295,5.105,5.175
1713247200,5.1525,5.155,5.0325,5.0975
1713333600,5.1175,5.1725,4.94,4.985
1713420000,4.995,5.03,4.8625,4.885
1713506400,4.85,5,4.8225,4.9525
1713765600,4.9975,5.1,4.9825,5
1713938400,5.0425,5.1275,4.99,5.0175
1714024800,5.025,5.0875,4.9475,4.995
1714111200,4.995,5.1325,4.995,5.1125
1714370400,5.16,5.2475,5.115,5.215
1714456800,5.2225,5.2375,5.12,5.16
1714629600,5.1825,5.65,5.1825,5.56
1714716000,5.5575,5.8425,5.45,5.8375
1714975200,5.8375,5.9025,5.7275,5.775
1715061600,5.775,5.9075,5.66,5.765
1715148000,5.7725,5.8,5.585,5.59
1715234400,5.615,5.7725,5.5625,5.73
1715320800,5.71500046,5.79250046,5.58500045,5.58750045
1715580000,5.5925,5.71,5.58,5.6275
1715666400,5.62,6.0125,5.6025,5.9175
1715752800,5.9,6.0825,5.825,5.8625
1715839200,5.9,6.205,5.88,6.175
1715925600,6.17,6.3,6.105,6.15
1716184800,6.3125,6.475,6.1175,6.1275
1716271200,6.15,6.225,5.94,5.9625
1716357600,5.9675,6.0625,5.88,5.9175
1716444000,5.93,6.1825,5.915,6.05
1716530400,6.0625,6.15,5.965,6.0975
1716789600,6.12,6.1375,5.92,5.9325
1716876000,5.94,5.96,5.8225,5.85
1716962400,5.85,5.905,5.635,5.645
1717048800,5.66,5.745,5.61,5.7375
1717135200,5.75,5.7975,5.4675,5.4975
1717394400,5.51,5.73,5.455,5.7175
1717480800,5.705,5.8875,5.64,5.675
1717567200,5.68,5.7125,5.505,5.6625
1717653600,5.725,5.93,5.7075,5.785
1717740000,5.815,5.87,5.695,5.775
1717999200,5.7675,5.8175,5.48,5.4875
1718085600,5.49,5.54,5.3275,5.3675
1718172000,5.3675,5.405,5.2725,5.3125
1718258400,5.36,5.54,5.36,5.525
1718344800,5.5825,5.65,5.5075,5.545
1718863200,5.625,5.805,5.625,5.7675
1718949600,5.75,5.775,5.615,5.7425
1719208800,5.75,6,5.7025,5.9625
1719295200,5.95,5.9625,5.795,5.805
1719381600,5.785,5.8175,5.525,5.525
1719468000,5.5425,5.615,5.4875,5.585
1719554400,5.6,5.6525,5.4575,5.485
1719813600,5.515,5.5525,5.16,5.21
1719900000,5.195,5.2975,5.1375,5.26
1719986400,5.2925,5.3725,5.23,5.35
1720072800,5.36,5.5125,5.36,5.5125
1720159200,5.5125,5.575,5.455,5.5
1720418400,5.5125,5.6675,5.4725,5.5
1720504800,5.51,5.565,5.42,5.4475
1720591200,5.4575,5.475,5.3625,5.385
1720677600,5.43,5.575,5.4275,5.5525
1720764000,5.5475,5.6225,5.475,5.5
1721109600,5.5125,5.5475,5.4425,5.4625
1721196000,5.465,5.49,5.3875,5.45
1721282400,5.4875,5.6,5.47,5.5075
1721368800,5.4925,5.78,5.4775,5.745
1721628000,5.8,5.8675,5.645,5.655
1721714400,5.66,5.8075,5.5975,5.7125
1721800800,5.7125,5.885,5.675,5.8075
1721887200,5.8275,5.95,5.685,5.7
1721973600,5.68,5.805,5.6625,5.7125
1722232800,5.6825,5.69,5.555,5.5775
1722319200,5.6125,5.6875,5.6,5.6375
1722405600,5.625,5.825,5.5825,5.8125
1722492000,5.8675,5.9825,5.7575,5.875
1722578400,5.75,5.95,5.7175,5.83
1722837600,5.5375,5.65,5.2575,5.3025
1722924000,5.4475,5.4675,5.2525,5.255
1723010400,5.295,5.4825,5.2625,5.4825
1723096800,5.51,5.785,5.5025,5.7375
1723183200,5.62500045,5.75750059,5.48500056,5.49000019
1723442400,5.6,5.95,5.51,5.54
1723528800,5.54,5.62,5.27,5.37
1723615200,5.39,5.4,5.11,5.11
1723701600,5.15,5.33,5.06,5.25
