time,open,high,low,close
1695362400,5.39997873,5.69331056,5.28997884,5.40331139
1695621600,5.40997819,5.58997781,5.36997869,5.39997873
1695708000,5.39997873,5.43664475,5.14331293,5.15997919
1695794400,5.15997919,5.29997863,5.10997956,5.12331284
1695880800,5.08997981,5.3166454,5.08997981,5.12997965
1695967200,5.12997965,5.2666456,5.07664619,5.2666456
1696226400,5.25997879,5.45331169,5.17997928,5.35664507
1696312800,5.38997844,5.61331088,5.35997856,5.583311
1696399200,5.59997727,5.64331093,5.249979,5.27331207
1696485600,5.36664537,5.46997812,5.0999796,5.2666456
1696572000,5.249979,5.583311,5.166646,5.38331163
1696831200,5.38331163,5.91997632,5.34997827,5.91997632
1696917600,6.13330863,6.39997473,5.80331012,5.83664332
1697004000,5.916643,6.06330925,5.2666456,5.2666456
1697090400,5.333312,5.79330983,5.249979,5.38331163
1697176800,5.3166454,5.64997773,5.249979,5.44997837
1697436000,5.44997837,5.47997825,5.02664656,5.05997993
1697522400,5.05997993,5.166646,4.833314,4.98998021
1697608800,5.18997907,5.43331127,4.96331365,5.00997979
1697695200,5.00331332,5.083313,4.75331432,4.833314
1697781600,4.916647,5.05664644,4.4333156,4.499982
1698040800,4.58998181,4.64664791,4.36331588,4.52331507
1698127200,4.52664856,4.74664768,4.4833154,4.6499814
1698213600,4.66331468,4.69998137,4.18665009,4.18665009
1698300000,4.29664965,4.38664912,4.08665032,4.28998284
1698386400,4.28998284,4.32664919,4.11998335,4.26998309
1698645600,4.27998288,4.44331556,4.22664993,4.40998219
1698732000,4.40998219,4.42998228,4.16665,4.1833166
1698818400,4.23998321,4.29664965,3.97331744,4.10665007
1698904800,4.13331663,4.22331644,4.083317,4.20998316
1698991200,4.20998316,4.2333164,4.11998335,4.2333164
1699250400,4.28998284,4.39664891,4.20998316,4.36998235
1699336800,4.36998235,4.40664921,4.25331632,4.333316
1699423200,4.33664932,4.54998163,4.21664963,4.54331516
1699509600,4.54331516,4.79998063,4.41998232,4.71664763
1699596000,4.5999816,4.98664672,4.47998191,4.88998044
1699855200,4.9333136,5.37664483,4.92331381,5.249979
1699941600,5.24664568,5.34331213,5.01331328,5.10997956
1700028000,5.0666464,5.61997769,5.0666464,5.26997909
1700114400,5.32664519,5.666644,5.23997921,5.54997763
1700200800,5.56331125,5.94330956,5.47331144,5.76664327
1700460000,5.95664317,6.333308,5.95664317,6.30664144
1700546400,6.30664144,6.59664061,6.10330875,6.28330837
1700632800,6.28330837,6.32997468,5.97664293,6.01997575
1700719200,6.01997575,6.56664073,6.00997613,6.36330788
1700805600,6.31664173,6.42997461,6.12664183,6.25997513
1701064800,6.26664127,6.78997317,6.26664127,6.73330673
1701151200,6.73330673,7.40663687,6.583307,7.18663775
1701237600,7.249971,7.47997025,6.59664061,6.93330527
1701324000,6.93330527,7.25997113,6.63664012,7.09997127
1701410400,7.11997169,7.80996893,7.11997169,7.80996893
1701669600,7.96330131,8.583299,7.89996873,8.40829987
1701756000,8.40829987,8.916631,8.03330137,8.46663263
1701842400,8.4582995,8.46663263,7.75663581,7.999968
1701928800,7.27663756,8.34996627,7.19997137,8.249967
1702015200,8.083301,8.56663273,7.81996839,8.3333
1702274400,8.3333,9.02496423,8.083301,8.999964
1702360800,8.999964,9.333296,8.916631,9.32496287
1702447200,9.32496287,9.79996063,8.93329727,9.499962
1702533600,9.499962,10.2082925,9.34996227,10.13329263
1702620000,10.13329263,10.666624,9.81662773,10.51662427
1702879200,10.51662427,10.60829123,9.46662863,9.46662863
1702965600,9.16663,9.44996237,8.52496623,9.16663
1703052000,9.16663,9.32496287,8.249967,8.249967
1703138400,8.06663473,9.07496387,7.66330268,8.90829787
1703224800,8.88329763,9.44162923,8.4582995,8.6249655
1703484000,8.6249655,8.6249655,7.76330261,8.166634
1703570400,8.13330063,8.666632,7.72663593,8.249967
1703656800,8.166634,8.3333,7.87996831,8.07330087
