time,open,high,low,close,Volume
1709618400,12.59332078,13.29998777,12.33332137,12.87998717,42339557.06937036
1709704800,13.03332002,13.34665405,12.23998846,12.33332137,22611123.93279022
1709791200,12.33332137,13.29332077,11.71998863,12.73332132,28518564.66300772
1709877600,12.74665497,13.6466531,12.1999875,12.47998756,32356087.38540476
1710136800,12.66665438,13.72665335,12.51998819,13.72665335,25490730.72600881
1710223200,14.06665336,15.09331836,13.72665335,15.09331836,38493205.33840918
1710309600,15.46665233,16.49331733,15.09331836,15.3933184,46209689.82339914
1710396000,15.3933184,16.43331706,14.63331981,14.99998545,36419381.32679989
1710482400,14.83998561,15.8733176,14.71998572,15.34665211,21260237.6224305
1710741600,15.60665153,15.78665169,13.8133196,13.8133196,22370988.69985904
1710828000,13.65998675,14.27998615,13.13332126,13.37998669,19849978.25447891
1710914400,13.38665368,14.04665271,13.13332126,13.31332009,15091997.63923771
1711000800,13.5733205,14.2933198,13.27332046,13.6466531,29509054.62378298
1711087200,14.15998626,14.16665293,13.18665421,13.19998653,25231461.47451763
1711346400,13.1666539,13.69998604,12.9199868,12.92665379,22013541.35313511
1711432800,12.92665379,13.04665368,12.04665465,12.13998756,11562203.21533712
1711519200,12.13332223,13.04665368,12.01998867,12.59332078,16261251.77341422
1711605600,12.74665497,12.93998745,12.41332196,12.49332121,8139922.89572521
1711692000,12.60665444,13.14665358,12.373321,13.14665358,7573273.34607515
1711951200,13.3333204,13.3333204,11.83332186,11.83332186,10141995.83773596
1712037600,11.84665551,12.27998809,11.74665594,11.95332207,8543402.28710022
1712124000,11.95332207,12.52665518,11.8199882,12.00665502,10817206.4926903
1712210400,12.45332159,12.45332159,10.80665552,10.80665552,18430472.87755869
1712296800,10.33332331,11.39998928,10.21332309,10.93332239,26413330.6209307
1712556000,11.2666554,12.02665567,11.01998964,12.02665567,9913941.61652337
1712642400,12.27332143,13.22665384,12.17332153,13.22665384,10833211.50821516
1713160800,13.22665384,13.22665384,12.19332217,12.39332131,30188879.28321291
1713247200,12.39332131,13.39998734,12.2333218,12.87332051,21378701.73734068
1713333600,12.83332089,12.95998776,12.44665459,12.46665524,11033551.70254515
1713420000,12.49332121,12.68665469,12.09998793,12.29998874,10041297.74005881
1713506400,12.29332174,12.55332116,11.83998852,12.34665502,6216405.02991288
1713765600,12.47332057,13.57998749,12.38665465,13.57998749,12745314.36295493
1713938400,13.99998642,14.39998637,13.03998702,13.55998685,25441371.67813053
1714024800,13.6466531,14.65331879,13.53331954,13.77331997,23639527.93034209
1714111200,13.99998642,14.8466526,13.62665378,13.83331991,24200579.47456209
1714370400,13.99331976,14.63331981,13.51998722,14.27998615,14306365.8771749
1714456800,14.433319,14.80665164,13.7133197,13.7133197,10769599.44651146
1714629600,14.55998588,15.07998604,13.94665314,14.10665298,36035338.95427879
1714716000,14.433319,14.49331927,13.71998669,14.10665298,12479583.10519561
1714975200,14.14665261,14.27998615,13.18665421,13.18665421,12388950.01728152
1715061600,13.22665384,13.4733196,12.56665481,12.62665475,11697920.34698274
1715148000,12.62665475,13.8866532,12.62665475,13.8866532,28624437.76570464
1715234400,14.06665336,14.17998658,13.0199877,13.29998777,17425093.90234109
1715320800,13.2999871,14.62665248,12.80665424,14.62665248,23483056.77856508
1715580000,14.54665222,14.78665266,14.16665293,14.36665206,12789618.40592985
1715666400,14.36665206,14.39331937,13.69998604,13.99998642,8097211.8542955
1715752800,14.15331927,14.33331943,13.83331991,14.13998562,5748872.5764064
1715839200,14.33331943,15.55331825,14.15998626,15.45998534,36051898.970342
1715925600,15.45331868,15.5333176,14.55998588,14.94665217,13442239.03897187
1716184800,14.94665217,14.99998545,14.26665249,14.33331943,7066071.8540897
1716271200,14.49998594,14.79998631,14.10665298,14.10665298,9070535.79841973
1716357600,14.433319,14.51331959,13.95332013,14.09998599,5816816.64231214
1716444000,14.15331927,14.66665244,13.86665255,14.39998637,7413106.19071301
1716530400,14.24665351,14.53998556,14.03998605,14.27998615,5489858.32516258
1716789600,14.99998545,14.99998545,13.98665277,14.0533197,6538449.34229586
1716876000,14.0533197,14.19998556,13.83998658,14.02665373,3086186.99360138
1716962400,13.91998583,14.07332002,13.46665427,13.59331981,4062567.9406909
1717048800,13.34665405,13.95998679,13.34665405,13.77331997,2664773.58483038
1717135200,13.99998642,15.14665164,13.95998679,15.02665276,23504197.79907187
1717394400,14.59331884,14.89998588,13.52665421,13.72665335,23879333.16295317
1717480800,13.73332035,13.95332013,13.36665303,13.77998663,6669447.46936405
1717567200,13.73332035,13.73332035,13.21332018,13.27998712,5942573.76429655
1717653600,13.3333204,13.54665319,13.21332018,13.34665405,4116564.99306804
1717740000,13.35332071,13.47998659,12.96665476,13.06665433,3739482.62729815
1717999200,13.06665433,13.17332056,12.46665524,12.49332121,7356700.13599913
1718085600,12.51332153,12.69332169,12.13332223,12.2333218,6543471.34716721
1718172000,12.20665449,12.21332115,11.66665535,11.93998842,6316191.12670539
1718258400,11.95998873,13.03998702,11.95998873,12.75998729,7551088.32455568
1718344800,13.0266547,13.83331991,12.70665401,13.67998706,12801144.41711009
1718863200,13.66665341,13.95332013,13.41998632,13.6399861,6966759.75775697
1718949600,13.69998604,14.54665222,13.48665325,13.86665255,12476631.10233217
1719208800,14.33331943,14.44665265,13.67998706,14.00665308,8293325.04452529
1719295200,14.06665336,14.10665298,13.7133197,13.75998632,5617961.44942261
1719381600,13.82665325,13.82665325,13.13998659,13.13998659,5330891.17096444
1719468000,13.1666539,13.41332099,13.12665427,13.17998755,2960606.87178867
1719554400,13.17998755,13.35998771,13.08665331,13.27998712,4313695.18428433
1719813600,13.43998696,13.43998696,12.11332158,12.44665459,5751998.57943862
1719900000,12.43998793,12.72665432,12.27332143,12.6133211,3849279.73380134
1719986400,12.62665475,12.84665454,12.10665492,12.26665443,6295911.10703377
1720072800,12.45998825,12.83998755,12.31332106,12.366654,9744732.45239048
1720159200,12.39998831,12.43332094,11.87998814,12.00665502,5383250.22175272
1720418400,12.0666553,12.1599882,11.86665449,11.98665471,6927306.71948752
1720504800,11.99998836,12.17998852,11.74665594,11.82665519,9316614.03711562
1720591200,11.82665519,12.21998815,11.53998847,11.69998798,8141563.89731698
1720677600,11.73332229,11.81332154,11.63332272,11.6533217,6529896.33399945
1720764000,11.679989,11.75332127,11.47332154,11.48665519,4874848.72860327
1721109600,11.54665513,11.69998798,11.43332191,11.50665551,5476835.31253025
1721196000,11.53998847,12.1999875,11.47998853,11.71998863,8280617.03219852
1721282400,11.73332229,11.97332105,11.70665498,11.77332191,5729315.55743609
1721368800,11.76665492,11.79998922,11.44665556,11.49998884,3864096.74817385
1721628000,11.57998943,11.66665535,11.41332293,11.44665556,3066059.97407818
1721714400,11.53332148,11.87998814,11.39998928,11.55332213,5883692.70718193
1721800800,11.55332213,11.63998804,11.29332271,11.36665497,3899700.78270976
1721887200,11.38665562,11.40665594,11.01332298,11.06665627,3555081.44842901
1721973600,11.05332261,11.66665535,10.97998902,11.45998922,8153386.9087853
1722232800,11.47998853,11.83332186,11.35332265,11.39332228,7742869.51058343
1722319200,11.39332228,11.57998943,11.32665568,11.32665568,3818319.70377011
1722405600,11.25998874,11.32665568,10.93332239,10.9599897,5721371.5497304
1722492000,11.02665664,11.30665503,11.00665599,11.1333232,4547437.41101429
1722578400,11.03998896,11.21332212,10.77998954,10.81998917,3892230.77546385
1722837600,10.14665716,10.43998987,9.84665745,9.8666571,4434376.30134501
1722924000,10.06665724,10.40665624,9.95332401,10.00665696,6057128.87541501
1723010400,10.05999024,10.17999046,9.93332336,10.06665724,3777393.66407185
1723096800,10.10665686,10.74665691,10.08665688,10.34665696,10273113.96492055
1723183200,10.36665661,10.86665546,10.23998973,10.36665661,9034274.76324652
1723442400,10.46665651,10.97998902,10.45332353,10.53332312,10681156.36072167
1723528800,10.70665595,11.58665476,10.66665632,11.58665476,6106127.92294409
1723615200,12.14665455,12.51332153,11.54665513,11.69332266,22093830.43101552
1723701600,12.05332164,12.69332169,11.339989,12.2333218,15764544.29160796
1723788000,12.25998777,12.37998766,11.92665476,12.00665502,6030026.84912604
1724047200,12.33332137,12.33332137,12.07332196,12.17332153,5603738.43562628
1724133600,12.66665438,13.24665448,12.33332137,12.93332045,16985311.47575213
1724220000,12.93998745,13.92665282,12.67332104,12.67332104,18598467.04051303
1724306400,12.67332104,13.3333204,12.0666553,12.69998701,9831549.53660305
1724392800,12.69998701,13.6399861,12.48665422,13.41998632,18928368.36051731
1724652000,13.77998663,13.90665351,12.81998723,12.87332051,9732324.44035471
1724738400,12.84665454,12.89998782,12.366654,12.46665524,8018077.77753544
1724824800,12.41998729,12.79332126,11.9933217,12.00665502,7688602.45794439
1724911200,12.01332201,12.5399875,11.79332223,12.15332121,9203918.92780136
1725256800,12.24665545,12.55332116,12.15332121,12.37998766,5827187.65237202
1725343200,12.40665497,12.5399875,12.10665492,12.33332137,7987216.74760025
1725429600,12.29998874,12.30665406,11.70665498,11.84665551,8288903.04023595
1725516000,11.89998879,12.29998874,11.8933218,11.97998805,7096263.88337597
1725602400,11.95998873,12.03998799,11.29332271,11.29998971,8918117.65057412
1725861600,11.37998863,11.40665594,11.05332261,11.07332293,4712617.57123904
1725948000,11.07332259,11.23332244,10.56665642,11.1733225,5812826.63844184
1726034400,11.15998917,11.23332244,10.66665632,10.67332298,4131676.00772573
1726120800,10.83998949,11.31998902,10.66665632,11.22665578,8232220.98525436
1726207200,11.16665584,11.61998873,11.12665587,11.53332215,7322473.10279891
1726466400,11.49998884,11.61998873,11.26665574,11.2733224,4408864.27659835
1726552800,11.33332234,11.37998896,11.2399891,11.25998908,4312030.18266928
1726639200,11.2066558,11.3066557,10.99998933,11.07332259,4318645.18908583
1726725600,11.16665584,12.17998819,11.16665584,12.01998834,17322142.80247852
1726812000,12.01998834,12.49998787,11.66665535,11.66665535,11120167.78656275
1727071200,11.69998865,11.77998857,11.3733223,11.39332228,4039728.91853705
1727157600,11.46665554,11.63332205,11.1733225,11.1733225,5650286.48077789
1727244000,11.213322,11.359989,10.899989,10.906656,4215664
1727330400,10.97998935,11.05332261,10.53998978,10.53998978,5424905.2621581
1727416800,10.62665636,11.25998908,10.54665644,10.94665605,10504642.18950292
1727676000,11,12.04,11,12.04,19013951
1727762400,12.3,12.6,11.69,11.84,22136701
1727848800,11.84,12.08,10.73,10.86,9933264
1727935200,10.9,11.37,10.6,10.95,7238629
1728021600,11.01,11.2,10.79,11.01,3841856
1728280800,11.1,11.15,10.57,10.58,5520739
1728367200,10.56,10.71,10.08,10.15,6230245
1728453600,10.15,11.16,9.97,11.14,17686730
1728540000,11.06,11.56,10.7,11.1,12841049
1728626400,11.22,11.92,11.22,11.34,17298540
1728885600,11.39,11.51,10.45,10.51,6702395
1728972000,10.57,11.01,10.57,10.84,4569439
1729058400,10.78,10.88,10.64,10.75,3427375
1729144800,10.9,10.9,10.59,10.69,4123785
1729231200,10.67,10.85,10.43,10.45,5924085
1729490400,10.44,10.6,10.02,10.06,5464276
1729576800,10.1,10.92,10.06,10.46,14363322
1729663200,10.45,10.71,10.03,10.03,7554607
1729749600,10.1,10.32,10.1,10.18,3138156
1729836000,10.23,10.6,10.12,10.18,4404411
1730095200,10.2,10.34,10.1,10.15,1947303
1730268000,10.16,10.32,10.16,10.2,3245790
1730354400,10.2,10.27,10.07,10.15,3090139
1730440800,10.13,10.2,10.03,10.07,3009636
1730700000,10.09,10.25,9.86,9.9,3067413
1730786400,9.95,10.09,9.84,9.91,2962225
1730872800,9.95,10.15,9.92,9.97,5489228
1730959200,10.05,10.05,9.88,9.95,3571094
1731045600,9.95,10.3,9.9,10.24,5016202
1731304800,10.27,10.51,10.25,10.32,3270447
1731391200,10.13,10.29,9.95,9.97,4318580
1731477600,9.97,10.03,9.81,9.98,3934898
1731564000,10,10.12,9.98,10.04,5109783
1731650400,10.08,10.21,10,10.08,6216505
1731909600,10.1,10.28,9.97,10.11,5034953
1731996000,10.11,10.15,9.75,9.79,5223435
1732082400,9.85,9.85,9.38,9.38,3900150
1732168800,9.39,9.6,9.38,9.5,3862948
1732255200,9.5,9.61,9.15,9.3,7870324
1732514400,9.34,9.42,9.26,9.27,4816391
1732600800,9.29,9.4,9.13,9.18,4401307
1732687200,9.2,9.32,9.11,9.14,4468520
1732773600,9.14,9.17,8.88,8.88,4208170
1732860000,8.89,8.98,8.84,8.93,4857720
1733119200,8.93,9.13,8.92,9.06,5155700
1733205600,9.12,9.19,9.01,9.08,5777886
1733292000,9.1,9.21,8.95,9.1,6116535
1733378400,9.13,9.8,9.09,9.66,14770735
1733464800,9.56,9.84,9.5,9.66,10150905
1733724000,9.7,9.92,9.65,9.91,8684006
1733810400,9.94,9.96,9.55,9.59,5403958
1733896800,9.59,9.66,9.4,9.4,4583614
1733983200,9.43,9.54,9.34,9.35,4226854
1734069600,9.4,9.45,9.24,9.42,4243757
1734328800,9.42,9.59,9.36,9.37,4829358
1734415200,9.39,9.42,9.16,9.22,4396171
1734501600,9.22,9.3,9.1,9.1,4093415
1734588000,9.1,9.16,8.95,8.95,3980686
1734674400,8.98,9.15,8.71,9.06,7231930
1734933600,9.08,9.56,8.96,9.31,8884310
1735020000,9.37,9.41,9.17,9.18,4357026
1735106400,9.21,9.45,9.12,9.18,5374749
1735192800,9.18,9.26,9.15,9.17,3344252
