time,open,high,low,close,Volume
1692165600,4.91764439,4.91764439,4.91764439,4.91764439,975970.52946401
1692252000,5.40705589,5.40705589,5.40705589,5.40705589,710341.13536007
1692338400,5.94352619,5.94352619,5.94352619,5.94352619,7794236.47837329
1692597600,6.53646728,6.53646728,6.53646728,6.53646728,5762748.12629086
1692684000,7.18587869,7.18587869,7.18587869,7.18587869,6916615.25226377
1692770400,7.90117265,7.90117265,7.90117265,7.90117265,8309341.0078175
1692856800,8.68705364,8.68705364,8.68705364,8.68705364,9921949.1326574
1692943200,9.55293552,9.55293552,9.11058353,9.55293552,296506923.1050058
1693202400,10.4988176,10.50822959,10.25881749,10.50822959,87426448.92884853
1693288800,11.55764055,11.55764055,11.55764055,11.55764055,15494054.90552479
1693461600,12.694111,12.70587546,12.07058145,12.70587546,127909964.89115594
1693548000,13.15293451,13.97646348,12.94116945,13.97646348,268296058.0506115
1693807200,14.41175689,15.36469825,14.21175747,15.36469825,382070438.773213
1693893600,15.76469733,16.89410919,15.76469733,16.89410919,162518031.1660319
1693980000,17.74116732,18.5764598,15.42352175,15.42352175,545158497.2484847
1694066400,15.05881536,15.05881536,13.88234541,13.88234541,26532955.64412844
1694152800,12.4941104,15.27058042,12.4941104,15.17646236,105743172.61567114
1694412000,14.0588159,15.05881536,13.65881588,13.65881588,64658731.82736202
1694498400,13.65881588,13.65881588,12.56469954,13.10587548,39602537.23437645
1694584800,13.17646344,13.48234539,11.89411096,12.31763991,40031073.46685735
1694671200,12.22352302,12.22352302,11.08705257,11.29411152,42570322.34439987
1694757600,11.10587656,12.42352244,10.55058251,12.42352244,38445678.10678038
1695016800,12.23528748,12.23528748,11.24705249,11.2988174,29064354.76741246
1695103200,11.17646453,12.04705252,10.63528858,11.48705259,21902000.13183507
1695189600,11.48705259,11.48705259,10.82822942,10.92705266,22025356.44875587
1695276000,10.92234655,11.41175852,10.47058256,10.98822957,24506070.044543
1695362400,10.98822957,11.92940553,10.61175848,11.52940551,28401150.4076241
1695621600,11.52940551,12.68234653,11.29411152,12.68234653,36024362.54321668
