time,open,high,low,close,Volume
1691560800,51.599998,52.650002,50.849998,51.900002,72847479
1691647200,52.049999,52.799999,49.799999,50,81301337
1691733600,50,52.049999,49.639999,51.75,63365158
1691992800,52.099998,52.75,50.75,51,68454170
1692079200,51.049999,51.700001,49.720001,51,46451346
1692165600,51.049999,51.599998,50.450001,50.5,53519552
1692252000,50.599998,52.099998,50.25,51.549999,74404667
1692338400,51.700001,51.849998,49.200001,49.439999,63925820
1692597600,49.360001,51.299999,49,50.75,80106045
1692684000,51,52.150002,49.919998,50.099998,84897435
1692770400,50.5,52.150002,50.049999,50.450001,117013589
1692856800,50.799999,51.549999,48.32,48.380001,127589334
1692943200,48.52,51.799999,48.119999,51.299999,97812519
1693202400,53,55.150002,52.5,53.349998,230782360
1693288800,53.349998,54.650002,52,52.400002,119532427
1693461600,52.650002,53,51.25,51.25,61504267
1693548000,51.5,52.150002,51.150002,51.650002,54115950
1693807200,52,53.099998,51.700001,51.900002,82529191
1693893600,51.900002,54,51.700001,53.799999,124334282
1693980000,54.599998,55.549999,53.75,54.349998,133401953
1694066400,54.650002,55.200001,53.650002,54.450001,77504596
1694152800,54.650002,55.049999,53.849998,53.900002,70597818
1694412000,54.099998,55.099998,53.599998,54.599998,113806982
1694498400,54.849998,55.099998,53.150002,54.25,101909308
1694584800,54.650002,57.049999,54.599998,55.25,185567699
1694671200,55.349998,56.75,54.5,56.599998,145857351
1694757600,56.799999,56.950001,54.5,54.549999,82966359
1695016800,54.5,54.5,51.950001,51.950001,84779737
1695103200,52,52.650002,51.400002,52.049999,75694083
1695189600,52.349998,52.650002,50.849998,51.099998,56149215
1695276000,50.599998,53.25,50.349998,52.950001,77968287
1695362400,53.75,54.849998,52.549999,54.700001,71478362
1695621600,54.799999,55.950001,54.400002,55.200001,72023618
1695708000,55.450001,55.450001,53.599998,53.599998,63791860
1695794400,54.150002,55.049999,53.599998,54.099998,64460449
1695880800,54.099998,54.799999,53.299999,53.5,63053437
1695967200,53.75,54.849998,53.599998,54.650002,92617501
1696226400,54.650002,56.549999,54.200001,55.75,124970114
1696312800,55.849998,57.450001,55.650002,56.5,89265313
